date,avg_moo,avgY_moo
2013-12-13,1349,1668
2013-12-16,1345,1669
2013-12-17,1297,1636
2013-12-18,1308,1615
2013-12-19,1337,1612
2013-12-20,1336,1599
2013-12-23,1331,1830
2013-12-24,1325,1795
2013-12-26,1316,1756
2013-12-27,1304,1720
2013-12-30,1310,1681
2013-12-31,1287,1676
2014-01-02,1164,1678
2014-01-03,1134,1644
2014-01-06,1134,1502
2014-01-07,1134,1483
2014-01-08,1094,1471
2014-01-09,1076,1466
2014-01-10,1063,1453
2014-01-13,1064,1411
2014-01-14,1060,1398
2014-01-15,1044,1391
2014-01-16,1077,1380
2014-01-17,1072,1363
2014-01-20,1070,1312
2014-01-21,1057,1301
2014-01-22,1025,1288
2014-01-23,991,1286
2014-01-24,987,1288
2014-01-27,991,1309
2014-01-28,991,1318
2014-01-29,1002,1315
2014-02-03,1003,1272
2014-02-04,1005,1267
2014-02-05,1014,1260
2014-02-06,1041,1253
2014-02-07,1049,1248
2014-02-10,1051,1246
2014-02-11,1054,1246
2014-02-12,1030,1244
2014-02-13,1025,1254
2014-02-14,1017,1272
2014-02-17,1025,1317
2014-02-18,1037,1327
2014-02-19,1045,1337
2014-02-20,1055,1341
2014-02-21,1052,1344
2014-02-24,1052,1354
2014-02-25,1042,1360
2014-02-26,1044,1358
2014-02-27,992,1349
2014-02-28,982,1333
2014-03-03,990,1323
2014-03-04,989,1309
2014-03-05,988,1296
2014-03-06,971,1292
2014-03-07,971,1291
2014-03-10,988,1289
2014-03-11,981,1291
2014-03-12,983,1293
2014-03-13,1012,1295
2014-03-14,1023,1298
2014-03-17,1041,1322
2014-03-18,1044,1329
2014-03-19,1044,1336
2014-03-20,1037,1344
2014-03-21,1037,1343
2014-03-24,1036,1336
2014-03-25,1036,1335
2014-03-26,1029,1331
2014-03-27,1007,1328
2014-03-28,1010,1326
2014-03-31,1009,1328
2014-04-01,1007,1330
2014-04-02,1011,1329
2014-04-03,1036,1312
2014-04-04,1042,1294
2014-04-07,1034,1303
2014-04-08,1034,1314
2014-04-09,1039,1327
2014-04-10,1071,1334
2014-04-11,1071,1345
2014-04-14,1080,1364
2014-04-15,1091,1363
2014-04-16,1114,1358
2014-04-17,1097,1352
2014-04-18,1101,1343
2014-04-21,1108,1335
2014-04-22,1113,1339
