date,평균,평년
2019-11-25,2917,1848
2019-11-26,2917,1854
2019-11-27,2925,1872
2019-11-28,2883,1880
2019-11-29,2883,1896
2019-12-02,2940,1909
2019-12-03,2940,1913
2019-12-04,2940,1906
2019-12-05,2948,1901
2019-12-09,2945,1902
2019-12-10,2940,1903
2019-12-11,2904,1901
2019-12-12,2862,1888
2019-12-13,2818,1880
2019-12-16,2780,1883
2019-12-17,2738,1890
2019-12-18,2691,1883
2019-12-19,2700,1872
2019-12-20,2685,1875
2019-12-23,2653,1886
2019-12-24,2657,1887
2019-12-26,2619,1890
2019-12-27,2565,1910
2019-12-30,2539,1918
2019-12-31,2517,1934
,2324,1945
,2327,1956
2019-10-01,2242,1987
2019-10-02,2160,1990
2019-10-04,2073,1984
2019-10-07,2053,1987
2019-10-08,1982,1914
2019-10-10,1966,1896
2019-10-11,1847,1870
2019-10-14,1773,1864
2019-10-15,1759,1861
2019-10-16,1667,1897
2019-10-17,1644,1911
2019-10-18,1623,1899
2019-10-21,1578,1898
2019-10-22,1524,1937
2019-10-23,1456,2116
2019-10-24,1428,1802
2019-10-25,1393,1689
2019-10-28,1350,1684
2019-10-29,1349,1868
2019-10-30,1356,1907
2019-10-31,1356,1885
2019-11-01,1347,1797
2019-11-04,1411,1817
2019-11-05,1411,1823
2019-11-06,1401,1772
2019-11-07,1404,1708
2019-11-08,1395,1753
2019-11-11,1393,1736
2019-11-12,1402,1720
2019-11-13,1400,1684
2019-11-14,1400,1668
2019-11-15,1400,1663
2019-11-18,1407,1656
2019-11-19,1407,1654
2019-11-20,1405,1656
2019-11-21,1405,1658
2019-11-22,1403,1662
2019-11-25,1420,1662
2019-11-26,1412,1694
2019-11-27,1412,1709
2019-11-28,1408,1712
2019-11-29,1408,1722
2019-12-02,1408,1744
2019-12-03,1413,1936
2019-12-04,1413,1955
2019-12-05,1413,2143
2019-12-09,1502,2164
2019-12-10,1513,2189
2019-12-11,1628,1947
2019-12-12,1620,1903
2019-12-13,1618,1906
2019-12-16,1626,1906
2019-12-17,1632,1875
2019-12-18,1645,1743
2019-12-19,1637,1720
2019-12-20,1568,1751
2019-12-23,1578,1649
2019-10-01,1581,1639
2019-10-02,1578,1538
2019-10-04,1695,1529
2019-10-07,1704,1556
2019-10-08,1694,1534
2019-10-10,1694,1521
2019-10-11,1694,1515
2019-10-14,1576,1510
2019-10-15,1569,1508
2019-10-16,1570,1492
2019-10-17,1565,1481
2019-10-18,1564,1465
2019-10-21,1581,1451
2019-10-22,1566,1444
2019-10-23,1589,1448
2019-10-24,1594,1444
2019-10-25,1583,1438
2019-10-28,1615,1447
2019-10-29,1618,1462
2019-10-30,1635,1512
2019-10-31,1651,1519
2019-11-01,1665,1506
2019-10-01,2636,1501
2019-10-02,2618,1493
2019-10-04,2575,1489
2019-10-07,2582,1485
2019-10-08,2514,1483
2019-10-10,2521,1488
2019-10-11,2527,1493
2019-10-14,2577,1508
2019-10-15,2494,1521
2019-10-16,2445,1527
2019-10-17,2463,1551
2019-10-18,2494,1550
2019-10-21,2523,1544
2019-10-22,2668,1537
2019-10-23,2672,1529
2019-10-24,2697,1523
2019-10-25,2669,1542
2019-10-28,2687,1547
2019-10-29,2752,1559
2019-10-30,2755,1561
2019-10-31,2782,1550
2019-11-01,2895,1551
2019-11-04,2988,1558
2019-11-05,3026,1563
2019-11-06,3011,1569
2019-11-07,3024,1576
2019-11-08,3024,1582
2019-11-11,3022,1569
2019-11-12,3021,1623
2019-11-13,3000,1623
2019-11-14,3008,1627
2019-11-15,3017,1691
2019-11-18,3004,1686
2019-11-19,2981,1804
2019-11-20,2921,1853
2019-11-21,2804,1792
2019-11-22,2700,1826
2019-11-25,2640,1876
2019-11-26,2640,1896
2019-11-27,2640,1904
2019-11-28,2616,1890
2019-11-29,2379,1889
2019-12-02,2345,1884
2019-12-03,2332,1883
2019-12-04,2318,1898
2019-12-05,2275,1902
2019-12-09,2284,1923
2019-12-10,2280,1906
2019-12-11,2233,1863
2019-12-12,2216,1841
2019-12-13,2242,1827
2019-12-16,2225,1823
2019-12-17,2167,1821
2019-12-18,2082,1817
2019-12-19,2052,1814
2019-12-20,2036,1803
2019-12-23,2011,1799
2019-12-24,2026,1793
2019-12-26,2047,1778
2019-12-27,2063,1778
2019-10-01,2073,1764
2019-10-02,2120,1762
2019-10-04,2126,1764
2019-10-07,2094,1771
2019-10-08,2061,1774
2019-10-10,2017,1794
2019-10-11,2053,1795
2019-10-14,2056,1790
2019-10-15,2072,1786
2019-10-16,2069,1784
2019-10-17,2092,1770
2019-10-18,2105,1764
2019-10-21,2140,1782
2019-10-22,2195,1781
2019-10-23,2208,1788
2019-10-24,2157,1824
2019-10-25,2195,1849
2019-10-28,2198,1866
2019-10-29,2365,1892
2019-10-30,2407,1899
2019-10-31,2772,1908
2019-11-01,2900,1910
2019-11-04,2951,1920
2019-11-05,3066,1935
2019-11-06,3050,1907
