date,avg_baechoo,avgY_baechoo
2018-07-10,3235,2635
2018-07-11,3355,2680
2018-07-12,3498,2714
2018-07-13,3499,2751
2018-07-16,3605,2812
2018-07-17,3706,2845
2018-07-18,3771,2904
2018-07-19,3930,2998
2018-07-20,3960,3024
2018-07-23,4448,3248
2018-07-24,4524,3288
2018-07-25,4680,3356
2018-07-26,4788,3552
2018-07-27,4909,3601
2018-07-30,5030,3552
2018-07-31,5257,3474
2018-08-01,5404,3410
2018-08-02,5605,3348
2018-08-03,5719,3437
2018-08-06,5770,3756
2018-08-07,5770,3697
2018-08-08,5864,3741
2018-08-09,6010,3779
2018-08-10,6051,3866
2018-08-13,6066,3796
2018-08-14,6217,3796
2018-08-16,6310,3843
2018-08-17,6522,3878
2018-08-20,6986,3987
2018-08-21,7164,4035
2018-08-22,7320,4123
2018-08-23,7522,4191
2018-08-24,7661,4219
2018-08-27,8245,4494
2018-08-28,8311,4665
2018-08-29,8248,4767
2018-08-30,8299,4730
2018-08-31,8201,4778
2018-09-03,8079,4782
2018-09-04,7121,4719
2018-09-05,6926,4718
2018-09-06,6917,4696
2018-09-07,6807,4681
2018-09-10,6579,4656
2018-09-11,6544,4618
2018-09-12,6334,4622
2018-09-13,6217,4697
2018-09-14,6209,4695
2018-09-17,6149,4633
2018-09-18,6027,4574
2018-09-19,6012,4547
2018-09-20,5920,4523
2018-09-21,5935,4510
2018-09-27,5875,4405
2018-09-28,5617,4350
2018-10-01,5321,4302
2018-10-02,4897,4260
2018-10-04,4559,4181
2018-10-05,4400,4144
2018-10-08,4464,3992
2018-10-10,4387,3830
2018-10-11,4194,3603
2018-10-12,4151,3451
2018-10-15,4001,3215
2018-10-16,3864,3101
2018-10-17,3779,2945
2018-10-18,3736,2820
2018-10-19,3663,2627
2018-10-22,3618,2547
2018-10-23,3587,2537
2018-10-24,3570,2703
2018-10-25,3501,2774
2018-10-26,3451,2721
2018-10-29,3382,2671
2018-10-30,3360,2700
2018-10-31,3399,2492
2018-11-01,3368,2412
2018-11-02,3290,2366
2018-11-05,3153,2393
2018-11-06,3171,2375
2018-11-07,3149,2313
2018-11-08,3112,2162
2018-11-09,3107,2060
2018-11-12,3092,2132
2018-11-13,3127,2116
2018-11-14,3045,2030
2018-11-15,3003,1952
2018-11-16,3000,1933
2018-11-19,3008,1959
2018-11-20,3003,1976
2018-11-21,2995,1978
2018-11-22,2981,1993
2018-11-23,2966,2016
2018-11-26,2966,2166
2018-11-27,2956,2179
2018-11-28,3004,2171
2018-11-29,2933,2172
2018-11-30,2916,2184
2018-12-03,2873,2243
2018-12-04,2826,2284
2018-12-05,2796,2310
2018-12-06,2773,2266
2018-12-10,2805,2366
2018-12-11,2805,2366
2018-12-12,2805,2395
2018-12-13,2799,2332
2018-12-14,2816,2334
2018-12-17,2816,2385
2018-12-18,2850,2387
2018-12-19,2865,2374
2018-12-20,2838,2366
2018-12-21,2798,2341
2018-12-24,2789,2917
2018-12-26,2796,2913
2018-12-27,2796,2929
2018-12-28,2796,2995
2018-12-31,2796,3118
2019-01-02,2722,3122
2019-01-03,2709,3123
2019-01-04,2709,3004
2019-01-07,2748,3180
2019-01-08,2772,2978
2019-01-09,2748,2622
2019-01-10,2756,2499
2019-01-11,2756,2498
2019-01-14,2693,2427
2019-01-15,2692,2405
2019-01-16,2631,2399
2019-01-17,2598,2400
2019-01-18,2578,2397
2019-01-21,2554,2420
2019-01-22,2550,2431
2019-01-23,2550,2439
2019-01-24,2517,2438
2019-01-25,2503,2473
2019-01-28,2413,2534
2019-01-29,2498,2559
2019-01-30,2498,2567
2019-01-31,2577,2589
2019-02-01,2572,2626
2019-02-07,2665,2800
2019-02-08,2640,2809
2019-02-11,2584,2898
2019-02-12,2584,2903
2019-02-13,2589,2935
2019-02-14,2508,2864
2019-02-15,2508,2863
2019-02-18,2444,2954
2019-02-19,2429,2971
2019-02-20,2386,2968
2019-02-21,2367,2962
2019-02-22,2343,2955
2019-02-25,2322,2927
2019-02-26,2322,2989
2019-02-27,2327,3035
2019-02-28,2304,3041
2019-03-04,2347,3235
2019-03-05,2313,3249
2019-03-06,2313,3249
2019-03-07,2308,3255
2019-03-08,2300,3220
2019-03-11,2276,3211
2019-03-12,2263,3219
2019-03-13,2263,3273
2019-03-14,2245,3194
2019-03-15,2230,3183
2019-03-18,2233,3283
2019-03-19,2245,3290
2019-03-20,2245,3295
2019-03-21,2245,3221
2019-03-22,2228,3224
2019-03-25,2228,3232
2019-03-26,2205,3238
2019-03-27,2170,3196
2019-03-28,2180,3179
2019-03-29,2198,3186
2019-04-01,2201,3249
2019-04-02,2201,3315
2019-04-03,2201,3331
2019-04-04,2231,3317
2019-04-05,2246,3239
2019-04-08,2269,3329
2019-04-09,2282,3327
2019-04-10,2312,3341
2019-04-11,2299,3369
2019-04-12,2274,3361
2019-04-15,2284,3275
2019-04-16,2276,3274
2019-04-17,2276,3331
2019-04-18,2276,3319
2019-04-19,2276,3273
2019-04-22,2280,3428
2019-04-23,2280,3517
2019-04-24,2296,3513
2019-04-25,2288,3491
2019-04-26,2288,3454
2019-04-29,2311,3475
2019-04-30,2311,3545
2019-05-02,2324,3548
2019-05-03,2316,3568
2019-05-07,2357,3133
2019-05-08,2425,3070
2019-05-09,2425,2932
2019-05-10,2425,2942
2019-05-13,2428,2875
2019-05-14,2448,2832
2019-05-15,2448,2854
