,날짜,평균,평년,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압,태풍,태풍영향8,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
143,2015-07-30,2133,2108,-,32.8,24.2,84.0,0.0,61.0,남남동,16.2,1009.7,0,o,o,o,o,o,o,o
144,2015-07-31,2139,2115,-,34.1,23.1,84.0,0.0,53.0,남남동,13.3,1009.3,0,o,o,o,o,o,o,o
145,2015-08-03,2133,2161,-,33.4,17.5,81.0,0.0,39.0,남남서,14.4,1010.8,0,o,o,o,o,o,o,o
146,2015-08-04,2114,2092,-,32.3,19.5,81.0,0.0,47.0,서남서,18.0,1008.2,0,o,o,o,o,o,o,o
147,2015-08-05,2114,2098,-,34.7,22.0,84.0,0.0,48.0,남,11.9,1008.5,0,o,o,o,o,o,o,o
148,2015-08-06,2039,2111,-,34.6,21.2,84.0,0.0,46.0,남,13.0,1011.7,0,x,o,o,o,o,o,o
149,2015-08-07,2035,2195,-,35.7,21.5,84.0,0.0,44.0,남남서,11.9,1015.1,0,x,o,o,o,o,o,o
150,2015-08-10,2026,2468,-,34.2,16.5,81.0,0.0,35.0,서북서,10.1,1008.4,0,x,x,o,o,o,o,o
151,2015-08-11,1992,2448,-,31.0,17.6,79.0,0.0,45.0,북서,8.6,1007.8,0,x,x,o,o,o,o,o
152,2015-08-12,1993,2450,-,24.0,23.6,75.0,6.0,98.0,북북서,6.8,1003.4,0,x,x,x,o,o,o,o
153,2015-08-13,1855,2462,-,29.4,19.9,79.0,0.0,57.0,남남동,16.6,1005.3,0,x,x,x,o,o,o,o
154,2015-08-17,1798,2300,-,31.0,16.5,78.0,3.5,42.0,남남서,3.6,1007.1,3000,o,o,o,o,o,o,o
155,2015-08-18,1793,2224,-,29.1,17.2,77.0,0.0,49.0,서북서,4.7,1013.3,3000,o,o,o,o,o,o,o
156,2015-08-19,1809,2195,-,29.9,18.9,78.0,0.0,52.0,남동,8.6,1013.5,3000,o,o,o,o,o,o,o
157,2015-08-20,1876,2227,-,28.0,20.2,77.0,0.0,63.0,북서,6.5,1009.9,3000,o,o,o,o,o,o,o
158,2015-08-21,1870,2229,-,24.4,23.3,75.0,50.0,94.0,북서,4.0,1003.4,3000,o,o,o,o,o,o,o
159,2015-08-24,1870,2228,-,27.1,18.6,76.0,0.0,60.0,북서,3.6,1007.1,3000,o,o,o,o,o,o,o
160,2015-08-25,1870,2237,-,23.4,22.8,74.0,32.0,97.0,서북서,12.6,992.4,3000,o,o,o,o,o,o,o
161,2015-08-26,1883,2234,-,28.0,17.2,76.0,0.0,52.0,남남동,7.6,1005.7,0,o,o,o,o,o,o,o
162,2015-08-27,1861,2241,-,28.8,17.0,77.0,0.0,49.0,남서,9.7,1007.6,0,o,o,o,o,o,o,o
163,2015-08-28,1858,2247,-,29.4,19.7,78.0,0.0,56.0,남남동,15.5,1007.8,0,o,o,o,o,o,o,o
164,2015-08-31,1854,2193,-,28.6,16.8,76.0,0.0,49.0,남동,8.6,1011.9,0,o,o,o,o,o,o,o
