date,avg_scallion,avgY_scallion
2017-11-09,2907,2702
2017-11-10,2893,2705
2017-11-13,2926,2738
2017-11-14,2926,2749
2017-11-15,2926,2749
2017-11-16,2926,2758
2017-11-17,2909,2766
2017-11-20,2913,2782
2017-11-21,2923,2787
2017-11-22,2907,2792
2017-11-23,2943,2797
2017-11-24,2956,2806
2017-11-27,2920,2869
2017-11-28,2923,2900
2017-11-29,2930,2925
2017-11-30,2882,2949
2017-12-04,2868,3023
2017-12-05,2825,3038
2017-12-06,2836,3056
2017-12-07,2918,3083
2017-12-08,2921,3113
2017-12-11,2925,3174
2017-12-12,2925,3198
2017-12-13,2925,3216
2017-12-14,2954,3218
2017-12-15,2962,3208
2017-12-18,3016,3164
2017-12-19,3028,3150
2017-12-20,3042,3148
2017-12-21,3042,3140
2017-12-22,3030,3134
2017-12-26,3014,3072
2017-12-27,3010,3047
2017-12-28,2873,3036
2017-12-29,2888,3022
2018-01-03,2899,3053
2018-01-04,2962,3068
2018-01-05,2970,3085
2018-01-08,3011,3059
2018-01-09,3021,3035
2018-01-10,3021,3017
2018-01-11,3033,3001
2018-01-12,3031,2978
2018-01-15,3051,2924
2018-01-16,3051,2919
2018-01-17,3043,2925
2018-01-18,3019,2920
2018-01-19,3018,2904
2018-01-22,3015,2895
2018-01-23,3008,2892
2018-01-24,3008,2890
2018-01-25,3086,2889
2018-01-26,3055,2915
2018-01-29,3102,3018
2018-01-30,3127,3029
2018-01-31,3146,3021
2018-02-01,3156,3020
2018-02-02,3233,3033
2018-02-05,3225,3081
2018-02-06,3285,3111
2018-02-07,3299,3129
2018-02-08,3951,3148
2018-02-09,4024,3162
2018-02-12,4224,3192
2018-02-13,4243,3222
2018-02-14,4254,3248
2018-02-19,4267,3294
2018-02-20,4109,3291
2018-02-21,4081,3285
2018-02-22,3649,3277
2018-02-23,3614,3266
2018-02-26,3609,3237
2018-02-27,3551,3241
2018-02-28,3522,3249
2018-03-02,3299,3264
2018-03-05,3268,3287
2018-03-06,3276,3298
2018-03-07,3246,3305
2018-03-08,3284,3300
2018-03-09,3261,3299
2018-03-12,3227,3243
2018-03-13,3208,3228
2018-03-14,3210,3236
2018-03-15,2880,3241
2018-03-16,2856,3246
2018-03-19,2864,3249
2018-03-20,2853,3268
2018-03-21,2830,3275
2018-03-22,2728,3262
2018-03-23,2714,3242
2018-03-26,2706,3171
2018-03-27,2670,3158
2018-03-28,2666,3155
2018-03-29,2668,3148
2018-03-30,2582,3135
2018-04-03,2610,3107
2018-04-04,2581,3107
2018-04-05,2475,3106
2018-04-06,2440,3101
2018-04-09,2428,3095
2018-04-10,2423,3104
2018-04-11,2420,3114
2018-04-12,2284,3116
2018-04-13,2274,3105
2018-04-16,2258,3083
2018-04-17,2266,3079
2018-04-18,2259,3059
2018-04-19,2297,3034
2018-04-20,2294,3000
2018-04-23,2318,2917
2018-04-24,2329,2903
2018-04-25,2317,2882
2018-04-26,2292,2855
2018-04-27,2290,2822
2018-04-30,2267,2786
2018-05-02,2273,2791
2018-05-03,2245,2804
2018-05-04,2249,2826
2018-05-08,2265,2891
2018-05-09,2280,2909
2018-05-10,2377,2917
2018-05-11,2398,2934
2018-05-14,2375,2971
2018-05-15,2364,2988
2018-05-16,2364,2991
2018-05-17,2370,2982
2018-05-18,2342,2976
2018-05-21,2331,2937
2018-05-23,2350,2909
2018-05-24,2460,2886
2018-05-25,2472,2867
2018-05-28,2439,2864
2018-05-29,2439,2880
2018-05-30,2439,2885
2018-05-31,2525,2886
2018-06-01,2488,2888
2018-06-04,2476,2894
2018-06-05,2485,2893
2018-06-07,2539,2899
2018-06-08,2530,2900
2018-06-11,2480,2883
2018-06-12,2496,2868
2018-06-14,2490,2818
2018-06-15,2452,2783
2018-06-18,2479,2734
2018-06-19,2509,2720
2018-06-20,2509,2692
2018-06-21,2467,2665
2018-06-22,2437,2634
2018-06-25,2448,2590
2018-06-26,2456,2584
2018-06-27,2440,2561
2018-06-28,2367,2539
2018-06-29,2358,2526
2018-07-03,2373,2485
2018-07-04,2382,2476
2018-07-05,2556,2469
2018-07-06,2548,2456
2018-07-09,2547,2433
2018-07-10,2560,2424
2018-07-11,2557,2419
2018-07-12,2517,2410
2018-07-13,2518,2413
2018-07-16,2512,2386
2018-07-17,2506,2392
2018-07-18,2488,2418
2018-07-19,2487,2449
2018-07-20,2484,2492
2018-07-23,2476,2563
2018-07-24,2476,2574
2018-07-25,2485,2576
2018-07-26,2516,2578
2018-07-27,2461,2568
2018-07-30,2479,2548
2018-07-31,2496,2545
2018-08-01,2499,2543
2018-08-02,2823,2533
2018-08-03,2842,2527
2018-08-06,2864,2500
2018-08-07,2878,2494
2018-08-08,2914,2510
2018-08-09,2940,2540
2018-08-10,2917,2564
2018-08-13,2951,2628
2018-08-14,2953,2640
2018-08-16,3101,2660
2018-08-17,3102,2668
2018-08-20,3105,2726
2018-08-21,3125,2759
2018-08-22,3159,2793
2018-08-23,3319,2829
2018-08-24,3522,2849
2018-08-27,3645,2917
2018-08-28,3625,2927
2018-08-29,3694,2946
2018-08-30,4172,2966
2018-08-31,4308,2985
2018-09-03,4611,3011
2018-09-04,4656,3009
2018-09-05,4770,3007
2018-09-06,4930,3012
2018-09-07,4873,3015
2018-09-10,4899,3014
2018-09-11,4894,3010
2018-09-12,4850,3016
2018-09-13,4834,3026
2018-09-14,4831,3026
2018-09-17,4831,3028
2018-09-18,4830,3037
2018-09-19,4813,3041
2018-09-20,4817,3043
