날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2015-02-12 14:00:00,8.6,-20.3,6.3,11,14.0,1009.9
2015-02-11 14:00:00,10.5,-5.9,8.7,31,13.3,1012.9
2015-02-10 14:00:00,8.9,-10.6,7.1,24,11.5,1017.6
2015-02-09 14:00:00,0.7,-27.5,-4.8,10,23.4,1026.1
2015-02-08 14:00:00,0.9,-27.3,-4.4,10,22.0,1021.6
2015-02-07 14:00:00,9.1,-9.9,6.8,25,15.1,1018.8
2015-02-06 14:00:00,8.7,-13.0,6.8,20,11.5,1024.5
2015-02-05 14:00:00,6.9,-11.3,3.8,26,16.9,1020.5
2015-02-04 14:00:00,8.9,-9.1,7.0,27,11.9,1019.7
2015-02-03 14:00:00,1.8,-10.3,1.8,40,2.2,1025.5
2015-02-02 14:00:00,9.9,-10.8,9.0,22,7.6,1029.1
2015-02-01 14:00:00,8.0,-19.7,6.0,12,11.2,1030.2
2015-01-31 14:00:00,4.2,-18.0,0.6,18,16.2,1028.7
2015-01-30 14:00:00,6.7,-11.0,2.9,27,23.0,1020.8
2015-01-29 14:00:00,7.4,-2.3,4.8,50,14.0,1025.4
2015-01-28 14:00:00,5.1,-10.6,2.8,31,10.1,1025.8
2015-01-27 14:00:00,7.9,-9.9,5.5,27,14.0,1020.2
2015-01-26 14:00:00,10.0,7.7,8.4,86,11.5,1016.5
2015-01-25 14:00:00,10.0,-1.4,10.0,45,3.6,1025.6
2015-01-24 14:00:00,8.5,-6.1,5.9,35,16.6,1024.9
2015-01-23 14:00:00,9.0,-6.4,8.2,33,6.5,1021.6
2015-01-22 14:00:00,6.8,-0.4,4.3,60,12.6,1015.9
2015-01-21 14:00:00,7.4,-3.7,6.3,45,6.5,1020.8
2015-01-20 14:00:00,10.1,-8.0,9.7,27,5.8,1026.4
2015-01-19 14:00:00,9.6,-11.7,7.3,21,15.8,1020.7
2015-01-18 14:00:00,8.3,-16.8,6.8,15,9.0,1021.6
2015-01-17 14:00:00,5.6,-22.6,1.8,11,19.8,1025.2
2015-01-16 14:00:00,8.5,-5.3,5.7,37,18.0,1017.4
2015-01-15 14:00:00,9.3,-1.4,6.6,47,18.7,1020.1
2015-01-14 14:00:00,5.3,-1.4,3.9,62,6.5,1025.3
2015-01-13 14:00:00,9.1,-8.9,7.7,27,9.0,1033.1
2015-01-12 14:00:00,4.9,-14.0,2.0,24,13.0,1033.5
2015-01-11 14:00:00,9.3,-15.3,6.8,16,16.9,1019.7
2015-01-10 14:00:00,7.2,-16.2,4.5,17,14.8,1022.6
2015-01-09 14:00:00,5.1,-12.4,1.6,27,16.6,1022.9
2015-01-08 14:00:00,3.3,-19.4,-0.1,17,13.7,1022.8
2015-01-07 14:00:00,2.5,-28.5,-1.6,8,16.9,1018.0
2015-01-06 14:00:00,9.1,-16.2,6.7,15,15.8,1011.3
2015-01-05 14:00:00,10.4,-3.3,10.4,38,2.9,1017.9
2015-01-04 14:00:00,10.7,-5.3,9.1,32,12.6,1016.6
2015-01-03 14:00:00,3.5,-24.3,-0.0,11,14.4,1022.2
2015-01-02 14:00:00,2.1,-15.4,-2.3,26,17.6,1021.4
2015-01-01 14:00:00,-1.4,-25.5,-7.2,14,21.6,1021.0
2014-12-31 14:00:00,2.8,-5.3,-1.1,55,15.8,1012.5
2014-12-30 14:00:00,11.5,-17.0,10.0,12,13.0,1016.4
2014-12-29 14:00:00,8.5,-5.7,6.6,36,11.2,1014.3
2014-12-28 14:00:00,4.8,-13.6,1.8,25,13.0,1019.7
2014-12-27 14:00:00,8.6,-8.9,7.2,28,9.0,1029.0
2014-12-26 14:00:00,4.6,-22.4,1.0,12,16.6,1028.0
2014-12-25 14:00:00,5.3,-17.1,1.7,18,17.6,1024.4
2014-12-24 14:00:00,11.7,-4.4,10.2,32,13.3,1018.4
