date,평균,평년
2019-05-21,1639,1975
2019-05-22,1672,2036
2019-05-23,1682,2023
2019-05-24,1653,1885
2019-05-27,1682,1933
2019-05-28,1680,1937
2019-05-29,1675,1932
2019-05-30,1652,1880
2019-05-31,1675,1853
2019-06-03,1636,1846
2019-06-04,1621,1848
2019-06-05,1551,1834
2019-06-07,1560,1813
2019-06-10,1560,1811
2019-06-11,1560,1819
2019-06-12,1543,1820
2019-06-13,1677,1812
2019-06-14,1669,1785
2019-06-17,1666,1770
2019-06-18,1670,1770
2019-06-19,1669,1768
2019-06-20,1658,1764
2019-06-21,1658,1763
2019-06-24,1658,1747
2019-06-25,1658,1736
2019-06-26,1661,1722
2019-06-27,1623,1716
2019-06-28,1622,1698
2019-07-01,1625,1705
2019-07-02,1625,1712
2019-07-03,1625,1721
2019-07-04,1609,1728
2019-07-05,1609,1733
2019-07-08,1623,1755
2019-07-09,1623,1762
2019-07-10,1628,1761
2019-07-11,1630,1756
2019-07-12,1636,1756
2019-07-15,1622,1760
